"TotalEnvSteps","env_id: Ant-v4 - _step","env_id: Ant-v4 - _step__MIN","env_id: Ant-v4 - _step__MAX","env_id: Ant-v4 - Metrics/EpCost","env_id: Ant-v4 - Metrics/EpCost__MIN","env_id: Ant-v4 - Metrics/EpCost__MAX","env_id: Walker2d-v4 - _step","env_id: Walker2d-v4 - _step__MIN","env_id: Walker2d-v4 - _step__MAX","env_id: Walker2d-v4 - Metrics/EpCost","env_id: Walker2d-v4 - Metrics/EpCost__MIN","env_id: Walker2d-v4 - Metrics/EpCost__MAX","env_id: Hopper-v4 - _step","env_id: Hopper-v4 - _step__MIN","env_id: Hopper-v4 - _step__MAX","env_id: Hopper-v4 - Metrics/EpCost","env_id: Hopper-v4 - Metrics/EpCost__MIN","env_id: Hopper-v4 - Metrics/EpCost__MAX"
"20000","0","0","0","0.9666666587193807","0.9599999785423279","0.9800000190734863","0","0","0","1","1","1","0","0","0","1","1","1"
"40000","1","1","1","0.9266666571299235","0.8999999761581421","0.9399999976158142","1","1","1","1","1","1","1","1","1","1","1","1"
"60000","2","2","2","0.9399999976158142","0.9200000166893005","0.9599999785423279","2","2","2","1","1","1","2","2","2","1","1","1"
"80000","3","3","3","0.8933333357175192","0.8600000143051147","0.9399999976158142","3","3","3","1","1","1","3","3","3","1","1","1"
"100000","4","4","4","0.9000000158945719","0.800000011920929","0.9800000190734863","4","4","4","1","1","1","4","4","4","1","1","1"
"120000","5","5","5","0.8733333349227905","0.800000011920929","0.9399999976158142","5","5","5","1","1","1","5","5","5","1","1","1"
"140000","6","6","6","0.9066666762034098","0.8799999952316284","0.9200000166893005","6","6","6","1","1","1","6","6","6","1","1","1"
"160000","7","7","7","0.899999996026357","0.8399999737739563","0.9399999976158142","7","7","7","1","1","1","7","7","7","0.9666666785875956","0.9200000166893005","1"
"180000","8","8","8","0.9133333166440328","0.8199999928474426","0.9599999785423279","8","8","8","1","1","1","8","8","8","0.7600000103314718","0.5600000023841858","1"
"200000","9","9","9","0.8533333341280619","0.8199999928474426","0.8799999952316284","9","9","9","1","1","1","9","9","9","0.5","0.18000000715255737","1"
"220000","10","10","10","0.8133333325386047","0.7400000095367432","0.8799999952316284","10","10","10","0.9933333396911621","0.9800000190734863","1","10","10","10","0.3933333332339923","0.07999999821186066","1"
"240000","11","11","11","0.7933333118756613","0.699999988079071","0.8999999761581421","11","11","11","0.9933333396911621","0.9800000190734863","1","11","11","11","0.36000000685453415","0","0.9800000190734863"
"260000","12","12","12","0.653333326180776","0.5799999833106995","0.699999988079071","12","12","12","0.9866666595141093","0.9599999785423279","1","12","12","12","0.30666667098800343","0","0.8600000143051147"
"280000","13","13","13","0.5933333337306976","0.47999998927116394","0.6600000262260437","13","13","13","0.9666666587193807","0.9599999785423279","0.9800000190734863","13","13","13","0.17999999349315962","0","0.5199999809265137"
"300000","14","14","14","0.5800000131130219","0.41999998688697815","0.6600000262260437","14","14","14","0.853333314259847","0.7599999904632568","0.8999999761581421","14","14","14","0.09333333000540733","0","0.25999999046325684"
"320000","15","15","15","0.5200000107288361","0.41999998688697815","0.6000000238418579","15","15","15","0.746666689713796","0.5400000214576721","0.9800000190734863","15","15","15","0.019999999552965164","0","0.03999999910593033"
"340000","16","16","16","0.49333332975705463","0.41999998688697815","0.5400000214576721","16","16","16","0.5866666634877523","0.3799999952316284","0.8399999737739563","16","16","16","0.006666666517655055","0","0.019999999552965164"
"360000","17","17","17","0.41999999682108563","0.36000001430511475","0.5199999809265137","17","17","17","0.5066666702429453","0.2800000011920929","0.800000011920929","17","17","17","0.006666666517655055","0","0.019999999552965164"
"380000","18","18","18","0.3333333333333333","0.25999999046325684","0.46000000834465027","18","18","18","0.4533333381017049","0.2199999988079071","0.7400000095367432","18","18","18","0.01333333303531011","0","0.03999999910593033"
"400000","19","19","19","0.3000000019868215","0.25999999046325684","0.36000001430511475","19","19","19","0.5133333305517832","0.41999998688697815","0.6200000047683716","19","19","19","0.006666666517655055","0","0.019999999552965164"
"420000","20","20","20","0.2666666607062022","0.2199999988079071","0.3199999928474426","20","20","20","0.48000000913937885","0.3400000035762787","0.5600000023841858","20","20","20","0.01333333303531011","0","0.03999999910593033"
"440000","21","21","21","0.2666666656732559","0.2199999988079071","0.3400000035762787","21","21","21","0.4399999976158142","0.2199999988079071","0.6399999856948853","21","21","21","0.019999999552965164","0","0.05999999865889549"
"460000","22","22","22","0.23333333929379782","0.20000000298023224","0.30000001192092896","22","22","22","0.46666666865348816","0.36000001430511475","0.6200000047683716","22","22","22","0.019999999552965164","0","0.03999999910593033"
"480000","23","23","23","0.18666666746139526","0.14000000059604645","0.2800000011920929","23","23","23","0.5533333222071329","0.5199999809265137","0.6200000047683716","23","23","23","0.019999999552965164","0","0.03999999910593033"
"500000","24","24","24","0.1599999964237213","0.10000000149011612","0.25999999046325684","24","24","24","0.5466666718324026","0.41999998688697815","0.6800000071525574","24","24","24","0.033333332588275276","0","0.05999999865889549"
"520000","25","25","25","0.23333333929379782","0.14000000059604645","0.36000001430511475","25","25","25","0.5266666611035665","0.3199999928474426","0.7400000095367432","25","25","25","0.05333333338300387","0","0.10000000149011612"
"540000","26","26","26","0.25333333512147266","0.1599999964237213","0.36000001430511475","26","26","26","0.5933333436648051","0.36000001430511475","0.800000011920929","26","26","26","0.06666666517655055","0","0.11999999731779099"
"560000","27","27","27","0.1933333377043406","0.07999999821186066","0.30000001192092896","27","27","27","0.573333332935969","0.4000000059604645","0.699999988079071","27","27","27","0.09999999900658925","0","0.1599999964237213"
"580000","28","28","28","0.15333333363135657","0.03999999910593033","0.23999999463558197","28","28","28","0.5533333420753479","0.5400000214576721","0.5799999833106995","28","28","28","0.0933333362142245","0","0.18000000715255737"
"600000","29","29","29","0.12000000104308128","0.019999999552965164","0.20000000298023224","29","29","29","0.5800000031789144","0.5","0.6399999856948853","29","29","29","0.07999999821186066","0","0.11999999731779099"
"620000","30","30","30","0.11333333452542622","0.03999999910593033","0.18000000715255737","30","30","30","0.5533333520094553","0.46000000834465027","0.6600000262260437","30","30","30","0.05999999865889549","0","0.11999999731779099"
"640000","31","31","31","0.11333333452542622","0.10000000149011612","0.14000000059604645","31","31","31","0.6600000063578287","0.5400000214576721","0.800000011920929","31","31","31","0.08666666845480601","0","0.18000000715255737"
"660000","32","32","32","0.14666666587193808","0.10000000149011612","0.2199999988079071","32","32","32","0.6800000071525574","0.5600000023841858","0.8199999928474426","32","32","32","0.11333333452542622","0","0.20000000298023224"
"680000","33","33","33","0.15333333611488342","0.07999999821186066","0.20000000298023224","33","33","33","0.6933333277702332","0.5600000023841858","0.7799999713897705","33","33","33","0.14666666587193808","0","0.2800000011920929"
"700000","34","34","34","0.15333332990606627","0.05999999865889549","0.25999999046325684","34","34","34","0.7199999888737997","0.6399999856948853","0.7799999713897705","34","34","34","0.11999999731779099","0","0.23999999463558197"
"720000","35","35","35","0.12000000228484471","0.07999999821186066","0.18000000715255737","35","35","35","0.6733333468437195","0.6200000047683716","0.7200000286102295","35","35","35","0.11999999731779099","0","0.23999999463558197"
"740000","36","36","36","0.07333333293596904","0.05999999865889549","0.10000000149011612","36","36","36","0.5200000107288361","0.47999998927116394","0.5400000214576721","36","36","36","0.09333333000540733","0","0.25999999046325684"
"760000","37","37","37","0.05999999990065893","0.03999999910593033","0.10000000149011612","37","37","37","0.399999996026357","0.3400000035762787","0.4399999976158142","37","37","37","0.05333333338300387","0","0.14000000059604645"
"780000","38","38","38","0.06666666641831398","0.03999999910593033","0.10000000149011612","38","38","38","0.36666666467984516","0.3199999928474426","0.4000000059604645","38","38","38","0.033333332588275276","0","0.07999999821186066"
"800000","39","39","39","0.10666666428248088","0.07999999821186066","0.11999999731779099","39","39","39","0.36666666467984516","0.3400000035762787","0.3799999952316284","39","39","39","0.01333333303531011","0","0.03999999910593033"
"820000","40","40","40","0.11333333204189937","0.07999999821186066","0.1599999964237213","40","40","40","0.3866666654745738","0.30000001192092896","0.4399999976158142","40","40","40","0.08666666721304257","0.019999999552965164","0.20000000298023224"
"840000","41","41","41","0.08666666472951572","0.03999999910593033","0.1599999964237213","41","41","41","0.3733333349227905","0.3199999928474426","0.4000000059604645","41","41","41","0.08666666721304257","0.019999999552965164","0.20000000298023224"
"860000","42","42","42","0.07333333293596904","0.03999999910593033","0.10000000149011612","42","42","42","0.399999996026357","0.3400000035762787","0.4399999976158142","42","42","42","0.040000000347693764","0","0.10000000149011612"
"880000","43","43","43","0.05333333338300387","0.019999999552965164","0.10000000149011612","43","43","43","0.3800000051657359","0.30000001192092896","0.46000000834465027","43","43","43","0","0","0"
"900000","44","44","44","0.07333333293596904","0.019999999552965164","0.14000000059604645","44","44","44","0.313333327571551","0.23999999463558197","0.3799999952316284","44","44","44","0.006666666517655055","0","0.019999999552965164"
"920000","45","45","45","0.05999999865889549","0.019999999552965164","0.11999999731779099","45","45","45","0.2533333400885264","0.18000000715255737","0.30000001192092896","45","45","45","0.01333333303531011","0","0.019999999552965164"
"940000","46","46","46","0.07333333293596904","0","0.11999999731779099","46","46","46","0.2533333400885264","0.18000000715255737","0.36000001430511475","46","46","46","0.01333333303531011","0","0.019999999552965164"
"960000","47","47","47","0.0733333316942056","0","0.1599999964237213","47","47","47","0.23333332935969034","0.2199999988079071","0.25999999046325684","47","47","47","0.006666666517655055","0","0.019999999552965164"
"980000","48","48","48","0.05999999990065893","0.019999999552965164","0.10000000149011612","48","48","48","0.21333333353201547","0.20000000298023224","0.2199999988079071","48","48","48","0","0","0"
"1000000","49","49","49","0.05999999865889549","0.019999999552965164","0.07999999821186066","49","49","49","0.2133333384990692","0.14000000059604645","0.30000001192092896","49","49","49","0","0","0"
"1020000","50","50","50","0.04666666562358538","0.03999999910593033","0.05999999865889549","50","50","50","0.23333333929379782","0.18000000715255737","0.30000001192092896","50","50","50","0.006666666517655055","0","0.019999999552965164"
"1040000","51","51","51","0.04666666562358538","0.019999999552965164","0.07999999821186066","51","51","51","0.2733333309491475","0.2199999988079071","0.3199999928474426","51","51","51","0.006666666517655055","0","0.019999999552965164"
"1060000","52","52","52","0.05333333338300387","0.019999999552965164","0.10000000149011612","52","52","52","0.34666667381922406","0.2199999988079071","0.46000000834465027","52","52","52","0","0","0"
"1080000","53","53","53","0.033333332588275276","0.019999999552965164","0.05999999865889549","53","53","53","0.3333333283662796","0.20000000298023224","0.41999998688697815","53","53","53","0","0","0"
"1100000","54","54","54","0.02666666607062022","0","0.05999999865889549","54","54","54","0.339999998609225","0.20000000298023224","0.5","54","54","54","0","0","0"
"1120000","55","55","55","0.02666666607062022","0.019999999552965164","0.03999999910593033","55","55","55","0.36666665971279144","0.23999999463558197","0.47999998927116394","55","55","55","0","0","0"
"1140000","56","56","56","0.04666666562358538","0.019999999552965164","0.07999999821186066","56","56","56","0.3000000019868215","0.1599999964237213","0.46000000834465027","56","56","56","0","0","0"
"1160000","57","57","57","0.03999999910593033","0.019999999552965164","0.05999999865889549","57","57","57","0.2733333309491475","0.1599999964237213","0.3799999952316284","57","57","57","0","0","0"
"1180000","58","58","58","0.033333332588275276","0.019999999552965164","0.05999999865889549","58","58","58","0.30000000447034836","0.10000000149011612","0.46000000834465027","58","58","58","0","0","0"
