"TotalEnvSteps","env_id: Ant-v4 - _step","env_id: Ant-v4 - _step__MIN","env_id: Ant-v4 - _step__MAX","env_id: Ant-v4 - Metrics/EpLen","env_id: Ant-v4 - Metrics/EpLen__MIN","env_id: Ant-v4 - Metrics/EpLen__MAX","env_id: Walker2d-v4 - _step","env_id: Walker2d-v4 - _step__MIN","env_id: Walker2d-v4 - _step__MAX","env_id: Walker2d-v4 - Metrics/EpLen","env_id: Walker2d-v4 - Metrics/EpLen__MIN","env_id: Walker2d-v4 - Metrics/EpLen__MAX","env_id: Hopper-v4 - _step","env_id: Hopper-v4 - _step__MIN","env_id: Hopper-v4 - _step__MAX","env_id: Hopper-v4 - Metrics/EpLen","env_id: Hopper-v4 - Metrics/EpLen__MIN","env_id: Hopper-v4 - Metrics/EpLen__MAX"
"20000","0","0","0","80.74666849772136","69.4000015258789","89.4800033569336","0","0","0","18.46666685740153","15.720000267028809","20.1200008392334","0","0","0","17.573333740234375","14.960000038146973","22.040000915527344"
"40000","1","1","1","127.0933329264323","110.44000244140625","153.6199951171875","1","1","1","32.106667836507164","28.18000030517578","35.58000183105469","1","1","1","27.46666653951009","24.1200008392334","32.459999084472656"
"60000","2","2","2","113.87333170572917","89.63999938964844","135.27999877929688","2","2","2","58.56000010172526","43.939998626708984","71.30000305175781","2","2","2","42.71333440144857","36.380001068115234","52.880001068115234"
"80000","3","3","3","159.06000264485678","111.33999633789062","194.24000549316406","3","3","3","97.90666961669922","67.80000305175781","120.76000213623047","3","3","3","66.40000025431316","49.52000045776367","80.9000015258789"
"100000","4","4","4","154.3733367919922","80.13999938964844","248.3800048828125","4","4","4","126.42666880289714","83.54000091552734","150.77999877929688","4","4","4","84.58000055948894","60.65999984741211","99.91999816894531"
"120000","5","5","5","185.52000172932944","113.26000213623047","264.5","5","5","5","155.63333129882812","90.05999755859375","193.8000030517578","5","5","5","98.08000183105469","84.76000213623047","114"
"140000","6","6","6","152.51333618164062","145.9600067138672","162.6999969482422","6","6","6","189.84666697184244","121.12000274658203","227.3000030517578","6","6","6","163.0999959309896","126.19999694824219","225.25999450683594"
"160000","7","7","7","171.67999776204428","130.39999389648438","213.3000030517578","7","7","7","201.08666483561197","147.0399932861328","233.52000427246094","7","7","7","290.3933359781901","137.47999572753906","426.4200134277344"
"180000","8","8","8","165.23999786376953","124.73999786376953","236.55999755859375","8","8","8","221.9866689046224","188.77999877929688","240.36000061035156","8","8","8","470.81333414713544","178.44000244140625","685.9199829101562"
"200000","9","9","9","243.63333129882812","189.32000732421875","318.29998779296875","9","9","9","247.94666035970053","229.39999389648438","273.0199890136719","9","9","9","653.0933278401693","254.5399932861328","894.0599975585938"
"220000","10","10","10","310.06666056315106","234.16000366210938","370.4599914550781","10","10","10","302.2200012207031","271.94000244140625","345.9200134277344","10","10","10","721.7933349609375","269.05999755859375","948.97998046875"
"240000","11","11","11","354.87999471028644","276","437.5199890136719","11","11","11","351.23333740234375","296.70001220703125","385.7200012207031","11","11","11","759.4733378092448","329.5799865722656","1000"
