"TotalEnvSteps","env_id: Ant-v4 - _step","env_id: Ant-v4 - _step__MIN","env_id: Ant-v4 - _step__MAX","env_id: Ant-v4 - Metrics/EpRet","env_id: Ant-v4 - Metrics/EpRet__MIN","env_id: Ant-v4 - Metrics/EpRet__MAX","env_id: Walker2d-v4 - _step","env_id: Walker2d-v4 - _step__MIN","env_id: Walker2d-v4 - _step__MAX","env_id: Walker2d-v4 - Metrics/EpRet","env_id: Walker2d-v4 - Metrics/EpRet__MIN","env_id: Walker2d-v4 - Metrics/EpRet__MAX","env_id: Hopper-v4 - _step","env_id: Hopper-v4 - _step__MIN","env_id: Hopper-v4 - _step__MAX","env_id: Hopper-v4 - Metrics/EpRet","env_id: Hopper-v4 - Metrics/EpRet__MIN","env_id: Hopper-v4 - Metrics/EpRet__MAX"
"20000","0","0","0","-252.0986124674479","-277.3682556152344","-223.10963439941406","0","0","0","-0.031705514838298164","-0.6767276525497437","0.6172520518302917","0","0","0","11.10123380025228","9.49863338470459","12.83976936340332"
"40000","1","1","1","-388.9886881510417","-475.1319885253906","-337.012939453125","1","1","1","3.687197188536326","-0.49520617723464966","8.40367603302002","1","1","1","21.354753494262695","18.500917434692383","23.388582229614258"
"60000","2","2","2","-345.56116739908856","-400.374267578125","-274.08709716796875","2","2","2","6.379475275675456","-3.2384042739868164","17.297304153442383","2","2","2","40.47384262084961","23.184860229492188","61.3924446105957"
"80000","3","3","3","-483.2987976074219","-598.5338134765625","-343.1728210449219","3","3","3","19.343492190043133","-15.372164726257324","56.2186279296875","3","3","3","80.08905283610027","51.19450378417969","120.69542694091797"
"100000","4","4","4","-463.4386850992839","-735.9529418945312","-247.9748992919922","4","4","4","19.72789700826009","-28.167593002319336","45.967647552490234","4","4","4","124.4732157389323","93.59872436523438","172.47918701171875"
"120000","5","5","5","-551.7358805338541","-782.8599853515625","-332.9605712890625","5","5","5","72.93865712483723","-30.588363647460938","133.58560180664062","5","5","5","152.9966303507487","123.10950469970703","200.32205200195312"
"140000","6","6","6","-455.72841389973956","-489.3203125","-434.5587463378906","6","6","6","132.78645706176758","-18.285999298095703","220.15953063964844","6","6","6","218.86913045247397","182.10122680664062","256.1762390136719"
"160000","7","7","7","-520.712880452474","-663.7592163085938","-388.3047790527344","7","7","7","191.56892840067545","29.129087448120117","284.5919189453125","7","7","7","326.4007314046224","244.98289489746094","471.9852600097656"
"180000","8","8","8","-508.1269124348958","-756.4199829101562","-366.78753662109375","8","8","8","197.93990834554037","104.1106948852539","245.27468872070312","8","8","8","508.1484680175781","310.17974853515625","720.9093627929688"
"200000","9","9","9","-750.9674072265625","-971.3621826171875","-614.1094360351562","9","9","9","233.30470275878906","181.41903686523438","293.51873779296875","9","9","9","693.5592244466146","405.09918212890625","906.5035400390625"
"220000","10","10","10","-1000.9161987304688","-1188.2386474609375","-753.8552856445312","10","10","10","286.82977294921875","271.0356140136719","306.3797912597656","10","10","10","710.2134195963541","265.93243408203125","943.3912353515625"
"240000","11","11","11","-1156.465108235677","-1406.4013671875","-929.4241333007812","11","11","11","299.3365885416667","240.31698608398438","360.0372619628906","11","11","11","736.2310180664062","287.29754638671875","987.2472534179688"
"260000","12","12","12","-1555.8140462239583","-1679.3878173828125","-1401.25927734375","12","12","12","266.10987854003906","167.54702758789062","417.13421630859375","12","12","12","806.2881978352865","464.1893615722656","988.2885131835938"
"280000","13","13","13","-1891.9567464192708","-1952.5718994140625","-1794.7197265625","13","13","13","255.01319376627603","246.5718231201172","267.951904296875","13","13","13","895.7856852213541","711.857177734375","987.7599487304688"
"300000","14","14","14","-2094.1461181640625","-2155.494140625","-2041.1343994140625","14","14","14","386.7107645670573","332.1048889160156","487.6836853027344","14","14","14","939.3090006510416","844.7686157226562","988.818359375"
"320000","15","15","15","-2402.865478515625","-2508.7412109375","-2209.1943359375","15","15","15","461.8082784016927","219.39462280273438","629.30615234375","15","15","15","979.20751953125","961.2098999023438","988.7801513671875"
"340000","16","16","16","-2613.1416015625","-3037.422607421875","-2006.850341796875","16","16","16","548.3636067708334","353.96466064453125","656.2919311523438","16","16","16","984.7021891276041","971.3350219726562","994.2470092773438"
"360000","17","17","17","-2965.167724609375","-3838.68505859375","-2099.01708984375","17","17","17","622.0928039550781","442.4786071777344","728.7158813476562","17","17","17","989.9629720052084","985.6941528320312","993.1322631835938"
"380000","18","18","18","-3158.1656087239585","-4011.861328125","-2342.037353515625","18","18","18","674.6985880533854","527.6361694335938","758.9813842773438","18","18","18","985.7924601236979","979.8423461914062","997.022216796875"
"400000","19","19","19","-3338.546142578125","-4105.30810546875","-2719.13037109375","19","19","19","651.0248413085938","532.4893798828125","711.1860961914062","19","19","19","985.5967610677084","976.2979736328125","999.235595703125"
"420000","20","20","20","-3652.8990885416665","-4362.9404296875","-3152.0986328125","20","20","20","688.1535847981771","630.72119140625","769.8533325195312","20","20","20","982.855224609375","972.8781127929688","998.3931884765625"
"440000","21","21","21","-3703.5868326822915","-4372.48046875","-3088.55712890625","21","21","21","719.5184733072916","664.2525634765625","829.1505737304688","21","21","21","979.1497192382812","966.576416015625","998.7704467773438"
"460000","22","22","22","-3832.278564453125","-4446.6845703125","-3276.138671875","22","22","22","719.5516764322916","622.6394653320312","815.1397094726562","22","22","22","976.7167765299479","959.9896850585938","998.169921875"
"480000","23","23","23","-4136.828938802083","-4504.09619140625","-3918.135986328125","23","23","23","707.7467244466146","649.1294555664062","739.6032104492188","23","23","23","979.211181640625","954.408935546875","998.7125244140625"
"500000","24","24","24","-4313.848307291667","-4555.4326171875","-4030.8017578125","24","24","24","726.0926513671875","612.1888427734375","801.5064697265625","24","24","24","977.3707478841146","944.666015625","998.7022705078125"
"520000","25","25","25","-4021.5816243489585","-4228.240234375","-3729.565673828125","25","25","25","713.5567423502604","655.2317504882812","756.7263793945312","25","25","25","968.2397664388021","943.3920288085938","999.2119750976562"
"540000","26","26","26","-3975.0853678385415","-4153.11669921875","-3759.636962890625","26","26","26","629.6862996419271","548.1910400390625","696.806396484375","26","26","26","945.0327351888021","905.6051635742188","998.2796020507812"
"560000","27","27","27","-4198.94775390625","-4364.18896484375","-4069.7529296875","27","27","27","671.8720703125","551.4309692382812","763.9976806640625","27","27","27","917.8483072916666","828.6581420898438","997.9860229492188"
"580000","28","28","28","-4214.08740234375","-4406.462890625","-4117.82080078125","28","28","28","676.8434244791666","588.1822509765625","805.7169799804688","28","28","28","920.4373982747396","823.5911865234375","997.5123291015625"
"600000","29","29","29","-4348.244547526042","-4824.84619140625","-4053.141357421875","29","29","29","609.1969197591146","492.904296875","772.4041137695312","29","29","29","940.6691284179688","875.3582153320312","997.7145385742188"
"620000","30","30","30","-4389.070475260417","-5023.0234375","-4012.31689453125","30","30","30","659.7497965494791","562.7587280273438","812.3484497070312","30","30","30","953.8329671223959","930.07958984375","997.5234375"
"640000","31","31","31","-4396.834635416667","-5169.57470703125","-3969.67041015625","31","31","31","608.7338053385416","429.81182861328125","749.26416015625","31","31","31","935.1878865559896","895.08154296875","997.9302978515625"
"660000","32","32","32","-4269.481852213542","-5111.7626953125","-3847.27783203125","32","32","32","606.6814371744791","530.6201782226562","733.8538818359375","32","32","32","911.4334309895834","858.8107299804688","997.8421630859375"
"680000","33","33","33","-4348.9052734375","-5088.62451171875","-3977.3583984375","33","33","33","644.8039143880209","486.30316162109375","789.3719482421875","33","33","33","885.6367594401041","770.5042114257812","997.4146728515625"
"700000","34","34","34","-4391.535400390625","-5037.93017578125","-4063.9853515625","34","34","34","696.4568481445312","536.50537109375","781.4188232421875","34","34","34","911.5799763997396","809.0005493164062","998.10400390625"
"720000","35","35","35","-4403.792154947917","-5136.8642578125","-3968.39306640625","35","35","35","632.1250508626302","381.0376281738281","827.4806518554688","35","35","35","931.1164347330729","888.74169921875","998.337890625"
"740000","36","36","36","-4468.802408854167","-5125.7451171875","-4072.77783203125","36","36","36","708.7273966471354","563.0792846679688","815.41845703125","36","36","36","943.2955525716146","886.999267578125","997.7655639648438"
"760000","37","37","37","-4591.344401041667","-5163.36474609375","-4253.7919921875","37","37","37","696.3427327473959","620.066650390625","739.450439453125","37","37","37","953.6400553385416","913.9638061523438","997.881103515625"
"780000","38","38","38","-4666.8203125","-5278.56103515625","-4360.06640625","38","38","38","702.9986368815104","652.7853393554688","799.752197265625","38","38","38","963.3754069010416","942.5206298828125","998.602783203125"
"800000","39","39","39","-4544.751627604167","-5086.74560546875","-4253.150390625","39","39","39","781.4098917643229","701.3973388671875","931.7725830078125","39","39","39","975.3584594726562","956.491455078125","998.5965576171875"
"820000","40","40","40","-4496.726806640625","-5132.3564453125","-4067.130615234375","40","40","40","806.1545206705729","623.867431640625","1013.4393920898438","40","40","40","951.6613159179688","924.4678344726562","991.468017578125"
"840000","41","41","41","-4566.639485677083","-5382.3935546875","-4020.431640625","41","41","41","778.6742146809896","680.3702392578125","841.1593627929688","41","41","41","952.4055582682291","925.9761962890625","993.0284423828125"
"860000","42","42","42","-4536.550130208333","-5183.4892578125","-4121.95556640625","42","42","42","769.1057942708334","636.1484985351562","879.0567016601562","42","42","42","966.4359334309896","945.9879760742188","996.0848388671875"
"880000","43","43","43","-4610.33056640625","-5160.06396484375","-4331.92041015625","43","43","43","841.0198160807291","672.8312377929688","1013.93408203125","43","43","43","985.7188517252604","956.8181762695312","1004.9357299804688"
"900000","44","44","44","-4623.629069010417","-5137.6640625","-4357.685546875","44","44","44","875.6636962890625","711.8286743164062","1081.78662109375","44","44","44","985.27294921875","959.42626953125","1005.5634155273438"
"920000","45","45","45","-4587.713053385417","-5048.70361328125","-4299.85302734375","45","45","45","862.4058024088541","757.9105224609375","991.1294555664062","45","45","45","987.0867716471354","971.8844604492188","999.297119140625"
"940000","46","46","46","-4436.7685546875","-4840.91064453125","-4023.18603515625","46","46","46","835.0505981445312","748.5756225585938","891.7083740234375","46","46","46","990.1728515625","982.07373046875","999.3696899414062"
"960000","47","47","47","-4511.559326171875","-5120.42333984375","-4006.831787109375","47","47","47","839.2007242838541","659.8582153320312","996.8770141601562","47","47","47","993.2586669921875","985.71435546875","999.6275634765625"
"980000","48","48","48","-4638.745279947917","-5367.27978515625","-4171.0546875","48","48","48","815.4215494791666","644.0496826171875","961.294189453125","48","48","48","994.2528889973959","985.4254150390625","1005.19677734375"
"1000000","49","49","49","-4697.129557291667","-5425.96875","-4237.02001953125","49","49","49","826.8722737630209","591.7229614257812","995.4449462890625","49","49","49","994.4989827473959","985.564208984375","1006.2056884765625"
"1020000","50","50","50","-4658.772298177083","-5299.859375","-4259.6357421875","50","50","50","844.4675903320312","627.6990966796875","991.5538940429688","50","50","50","992.6666056315104","985.5008544921875","1006.26904296875"
"1040000","51","51","51","-4635.0576171875","-5252.38134765625","-4173.2294921875","51","51","51","828.3593546549479","596.1439819335938","1016.0628051757812","51","51","51","993.7200317382812","985.9378051757812","1007.2139282226562"
"1060000","52","52","52","-4617.3212890625","-5332.74609375","-4132.89453125","52","52","52","765.3786315917969","449.9403991699219","945.122314453125","52","52","52","995.244140625","984.84716796875","1006.510986328125"
"1080000","53","53","53","-4657.1572265625","-5285.8818359375","-4270.130859375","53","53","53","766.7716674804688","467.54827880859375","930.81884765625","53","53","53","994.5935872395834","984.38720703125","1005.3927612304688"
"1100000","54","54","54","-4695.388346354167","-5465.10498046875","-4277.85107421875","54","54","54","816.7894490559896","495.74847412109375","1052.383544921875","54","54","54","993.9667154947916","983.882080078125","1004.9187622070312"
"1120000","55","55","55","-4729.792317708333","-5478.9580078125","-4354.2451171875","55","55","55","797.3825480143229","546.8135375976562","983.774658203125","55","55","55","993.8111572265625","983.8140869140625","1004.9584350585938"
"1140000","56","56","56","-4691.969889322917","-5456.916015625","-4250.583984375","56","56","56","847.7078043619791","584.7188110351562","1075.77880859375","56","56","56","993.4060668945312","983.9031982421875","1004.1727905273438"
"1160000","57","57","57","-4700.370930989583","-5402.41015625","-4307.240234375","57","57","57","826.6991984049479","589.0668334960938","1073.7171630859375","57","57","57","994.3628540039062","983.763671875","1005.032958984375"
"1180000","58","58","58","-4669.365397135417","-5310.0498046875","-4256.646484375","58","58","58","815.0885213216146","528.30224609375","1071.9381103515625","58","58","58","994.1848551432291","983.4249877929688","1005.5194702148438"
"1200000","59","59","59","-4644.709798177083","-5253.0205078125","-4232.45166015625","59","59","59","816.0182902018229","585.7076416015625","1110.5181884765625","59","59","59","995.1106974283854","984.2611083984375","1006.2673950195312"
"1220000","60","60","60","-4622.332845052083","-5274.62548828125","-4184.34765625","60","60","60","836.7584838867188","677.304931640625","1115.6539306640625","60","60","60","995.3978068033854","985.5281372070312","1006.4295043945312"
"1240000","61","61","61","-4622.494954427083","-5098.23046875","-4380.4306640625","61","61","61","897.4844156901041","670.1640625","1259.5428466796875","61","61","61","995.1624959309896","985.046630859375","1006.2271118164062"
"1260000","62","62","62","-4598.751627604167","-5046.755859375","-4335.68798828125","62","62","62","913.3554077148438","582.4307250976562","1377.6402587890625","62","62","62","999.1817626953125","984.7546997070312","1009.2460327148438"
"1280000","63","63","63","-4650.706868489583","-5057.03564453125","-4324.3955078125","63","63","63","859.0991414388021","521.9161987304688","1336.248779296875","63","63","63","1002.88916015625","984.6768798828125","1015.6345825195312"
"1300000","64","64","64","-4694.919596354167","-5212.6845703125","-4360.83251953125","64","64","64","822.7235107421875","485.92498779296875","1332.4312744140625","64","64","64","1004.7116088867188","984.63427734375","1019.9992065429688"
"1320000","65","65","65","-4669.271484375","-5083.35107421875","-4413.45849609375","65","65","65","823.81103515625","525.7021484375","1277.7919921875","65","65","65","1006.3880411783854","984.1834106445312","1019.7109375"
"1340000","66","66","66","-4704.83642578125","-5150.52783203125","-4476.533203125","66","66","66","852.9545694986979","580.4654541015625","1285.509521484375","66","66","66","955.4235026041666","862.3107299804688","1020.2020263671875"
"1360000","67","67","67","-4818.968424479167","-5536.5439453125","-4382.25146484375","67","67","67","793.7165934244791","574.5360107421875","1197.509033203125","67","67","67","932.8653767903646","791.6179809570312","1020.2510986328125"
"1380000","68","68","68","-4787.483561197917","-5452.703125","-4373.84619140625","68","68","68","755.0743204752604","553.5900268554688","1157.11962890625","68","68","68","968.0912882486979","891.7260131835938","1020.7062377929688"
"1400000","69","69","69","-4737.271484375","-5344.38232421875","-4422.62255859375","69","69","69","675.0834248860677","429.9634094238281","1034.2418212890625","69","69","69","1002.8966674804688","985.8263549804688","1022.342529296875"
"1420000","70","70","70","-4722.529296875","-5315.04248046875","-4327.5869140625","70","70","70","695.3343912760416","484.44940185546875","983.6443481445312","70","70","70","994.103271484375","949.7006225585938","1021.5701293945312"
"1440000","71","71","71","-4711.525227864583","-5353.24560546875","-4331.07421875","71","71","71","759.2398274739584","576.0482788085938","1052.2860107421875","71","71","71","970.1405232747396","871.3404541015625","1020.4131469726562"
"1460000","72","72","72","-4627.611653645833","-5174.5849609375","-4197.49609375","72","72","72","746.9423624674479","586.38232421875","1052.081298828125","72","72","72","965.2376708984375","858.369384765625","1020.6868896484375"
"1480000","73","73","73","-4527.181233723958","-4929.95654296875","-4046.901611328125","73","73","73","708.5173136393229","543.1611938476562","1021.6173706054688","73","73","73","1000.6054077148438","966.88427734375","1019.3978271484375"
"1500000","74","74","74","-4527.179361979167","-4970.2841796875","-4106.61083984375","74","74","74","735.6611124674479","579.5584106445312","1042.9078369140625","74","74","74","1020.1559651692709","1017.178955078125","1023.9915771484375"
"1520000","75","75","75","-4600.417805989583","-5108.6484375","-4227.58740234375","75","75","75","735.0765787760416","557.38720703125","1022.9955444335938","75","75","75","1028.8998616536458","1020.0209350585938","1042.678955078125"
"1540000","76","76","76","-4674.115559895833","-5338.18310546875","-4235.91748046875","76","76","76","746.6802978515625","560.9451904296875","1021.8914794921875","76","76","76","1019.9906005859375","1017.1500244140625","1022.4085083007812"
"1560000","77","77","77","-4744.630208333333","-5532.1005859375","-4128.607421875","77","77","77","686.2871907552084","584.4533081054688","882.8258056640625","77","77","77","904.18115234375","753.1747436523438","1020.2717895507812"
"1580000","78","78","78","-4818.64013671875","-5753.8994140625","-4098.9873046875","78","78","78","670.7786356608073","503.8480529785156","942.988525390625","78","78","78","837.9323527018229","679.77099609375","1021.065673828125"
"1600000","79","79","79","-4766.612630208333","-5546.66552734375","-4326.4306640625","79","79","79","744.1665852864584","533.87841796875","1031.453857421875","79","79","79","811.0528767903646","662.5546264648438","1021.2952270507812"
"1620000","80","80","80","-4777.812662760417","-5636.17333984375","-4337.1650390625","80","80","80","791.6770833333334","606.1729125976562","1048.596923828125","80","80","80","825.3815511067709","629.8184204101562","1020.3343505859375"
"1640000","81","81","81","-4812.318522135417","-5670.22119140625","-4381.79833984375","81","81","81","796.001708984375","640.2205200195312","1059.5733642578125","81","81","81","920.8718872070312","776.280517578125","1020.9115600585938"
"1660000","82","82","82","-4883.23876953125","-5615.47607421875","-4433.99072265625","82","82","82","723.9862670898438","565.2315063476562","974.4154052734375","82","82","82","965.5173543294271","915.5020141601562","1038.8619384765625"
"1680000","83","83","83","-4890.5283203125","-5426.62353515625","-4462.630859375","83","83","83","715.7735799153646","529.2891235351562","963.1174926757812","83","83","83","922.8513387044271","811.9661865234375","1061.8497314453125"
"1700000","84","84","84","-4952.446126302083","-5495.8642578125","-4480.53857421875","84","84","84","692.099110921224","509.2028503417969","950.6575927734375","84","84","84","873.419677734375","575.7059936523438","1177.47412109375"
"1720000","85","85","85","-4975.052571614583","-5515.79833984375","-4535.59814453125","85","85","85","672.4237670898438","519.1065063476562","926.4403076171875","85","85","85","982.5889689127604","649.95849609375","1316.73193359375"
"1740000","86","86","86","-5004.737141927083","-5460.3486328125","-4513.955078125","86","86","86","707.6981201171875","549.7715454101562","940.3253784179688","86","86","86","1033.9484252929688","655.3038940429688","1417.439208984375"
"1760000","87","87","87","-4884.321614583333","-5076.73681640625","-4512.93896484375","87","87","87","708.224853515625","539.8643188476562","925.9181518554688","87","87","87","1077.1449178059895","750.7802124023438","1443.469970703125"
"1780000","88","88","88","-4773.8623046875","-5102.3857421875","-4520.18017578125","88","88","88","664.0931396484375","564.9765014648438","761.5809936523438","88","88","88","1118.9449055989583","933.3802490234375","1403.326904296875"
