"TotalEnvSteps","env_id: Ant-v4 - _step","env_id: Ant-v4 - _step__MIN","env_id: Ant-v4 - _step__MAX","env_id: Ant-v4 - Metrics/EpCost","env_id: Ant-v4 - Metrics/EpCost__MIN","env_id: Ant-v4 - Metrics/EpCost__MAX","env_id: Walker2d-v4 - _step","env_id: Walker2d-v4 - _step__MIN","env_id: Walker2d-v4 - _step__MAX","env_id: Walker2d-v4 - Metrics/EpCost","env_id: Walker2d-v4 - Metrics/EpCost__MIN","env_id: Walker2d-v4 - Metrics/EpCost__MAX","env_id: Hopper-v4 - _step","env_id: Hopper-v4 - _step__MIN","env_id: Hopper-v4 - _step__MAX","env_id: Hopper-v4 - Metrics/EpCost","env_id: Hopper-v4 - Metrics/EpCost__MIN","env_id: Hopper-v4 - Metrics/EpCost__MAX"
"20000","0","0","0","0.9800000190734863","0.9800000190734863","0.9800000190734863","0","0","0","1","1","1","0","0","0","1","1","1"
"40000","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","1","1","1","1","1","1","1","1","1"
"60000","2","2","2","0.9599999785423279","0.9599999785423279","0.9599999785423279","2","2","2","1","1","1","2","2","2","1","1","1"
"80000","3","3","3","0.9599999785423279","0.9599999785423279","0.9599999785423279","3","3","3","1","1","1","3","3","3","1","1","1"
"100000","4","4","4","0.9200000166893005","0.9200000166893005","0.9200000166893005","4","4","4","1","1","1","4","4","4","1","1","1"
"120000","5","5","5","0.9800000190734863","0.9800000190734863","0.9800000190734863","5","5","5","1","1","1","5","5","5","1","1","1"
"140000","6","6","6","0.8999999761581421","0.8999999761581421","0.8999999761581421","6","6","6","1","1","1","6","6","6","1","1","1"
"160000","7","7","7","0.9800000190734863","0.9800000190734863","0.9800000190734863","7","7","7","1","1","1","7","7","7","1","1","1"
"180000","8","8","8","0.9800000190734863","0.9800000190734863","0.9800000190734863","8","8","8","1","1","1","8","8","8","1","1","1"
"200000","9","9","9","0.9800000190734863","0.9800000190734863","0.9800000190734863","9","9","9","1","1","1","9","9","9","1","1","1"
"220000","10","10","10","0.9599999785423279","0.9599999785423279","0.9599999785423279","10","10","10","1","1","1","10","10","10","1","1","1"
"240000","11","11","11","0.9200000166893005","0.9200000166893005","0.9200000166893005","11","11","11","1","1","1","11","11","11","1","1","1"
"260000","12","12","12","0.9200000166893005","0.9200000166893005","0.9200000166893005","12","12","12","1","1","1","12","12","12","1","1","1"
"280000","13","13","13","0.9800000190734863","0.9800000190734863","0.9800000190734863","13","13","13","1","1","1","13","13","13","1","1","1"
"300000","14","14","14","0.9599999785423279","0.9599999785423279","0.9599999785423279","14","14","14","1","1","1","14","14","14","1","1","1"
"320000","15","15","15","0.8999999761581421","0.8999999761581421","0.8999999761581421","15","15","15","1","1","1","15","15","15","1","1","1"
"340000","16","16","16","1","1","1","16","16","16","1","1","1","16","16","16","1","1","1"
"360000","17","17","17","0.9599999785423279","0.9599999785423279","0.9599999785423279","17","17","17","1","1","1","17","17","17","1","1","1"
"380000","18","18","18","0.9800000190734863","0.9800000190734863","0.9800000190734863","18","18","18","1","1","1","18","18","18","1","1","1"
"400000","19","19","19","0.9800000190734863","0.9800000190734863","0.9800000190734863","19","19","19","1","1","1","19","19","19","1","1","1"
"420000","20","20","20","0.9800000190734863","0.9800000190734863","0.9800000190734863","20","20","20","1","1","1","20","20","20","1","1","1"
"440000","21","21","21","1","1","1","21","21","21","1","1","1","21","21","21","1","1","1"
"460000","22","22","22","0.9800000190734863","0.9800000190734863","0.9800000190734863","22","22","22","1","1","1","22","22","22","1","1","1"
"480000","23","23","23","0.9399999976158142","0.9399999976158142","0.9399999976158142","23","23","23","1","1","1","23","23","23","1","1","1"
"500000","24","24","24","1","1","1","24","24","24","1","1","1","24","24","24","1","1","1"
"520000","25","25","25","0.9599999785423279","0.9599999785423279","0.9599999785423279","25","25","25","1","1","1","25","25","25","1","1","1"
"540000","26","26","26","0.9800000190734863","0.9800000190734863","0.9800000190734863","26","26","26","1","1","1","26","26","26","1","1","1"
"560000","27","27","27","1","1","1","27","27","27","1","1","1","27","27","27","1","1","1"
"580000","28","28","28","0.9599999785423279","0.9599999785423279","0.9599999785423279","28","28","28","1","1","1","28","28","28","1","1","1"
"600000","29","29","29","0.9200000166893005","0.9200000166893005","0.9200000166893005","29","29","29","1","1","1","29","29","29","1","1","1"
"620000","30","30","30","0.9800000190734863","0.9800000190734863","0.9800000190734863","30","30","30","1","1","1","30","30","30","1","1","1"
"640000","31","31","31","1","1","1","31","31","31","1","1","1","31","31","31","1","1","1"
"660000","32","32","32","0.9399999976158142","0.9399999976158142","0.9399999976158142","32","32","32","1","1","1","32","32","32","1","1","1"
"680000","33","33","33","1","1","1","33","33","33","1","1","1","33","33","33","1","1","1"
"700000","34","34","34","1","1","1","34","34","34","1","1","1","34","34","34","1","1","1"
"720000","35","35","35","0.9800000190734863","0.9800000190734863","0.9800000190734863","35","35","35","1","1","1","35","35","35","1","1","1"
"740000","36","36","36","0.9800000190734863","0.9800000190734863","0.9800000190734863","36","36","36","1","1","1","36","36","36","1","1","1"
"760000","37","37","37","0.9800000190734863","0.9800000190734863","0.9800000190734863","37","37","37","1","1","1","37","37","37","1","1","1"
"780000","38","38","38","0.9800000190734863","0.9800000190734863","0.9800000190734863","38","38","38","1","1","1","38","38","38","1","1","1"
"800000","39","39","39","0.9399999976158142","0.9399999976158142","0.9399999976158142","39","39","39","1","1","1","39","39","39","1","1","1"
"820000","40","40","40","1","1","1","40","40","40","1","1","1","40","40","40","1","1","1"
"840000","41","41","41","0.9399999976158142","0.9399999976158142","0.9399999976158142","41","41","41","1","1","1","41","41","41","1","1","1"
"860000","42","42","42","0.9599999785423279","0.9599999785423279","0.9599999785423279","42","42","42","1","1","1","42","42","42","1","1","1"
"880000","43","43","43","0.9800000190734863","0.9800000190734863","0.9800000190734863","43","43","43","1","1","1","43","43","43","1","1","1"
"900000","44","44","44","1","1","1","44","44","44","1","1","1","44","44","44","1","1","1"
"920000","45","45","45","0.9200000166893005","0.9200000166893005","0.9200000166893005","45","45","45","1","1","1","45","45","45","1","1","1"
"940000","46","46","46","1","1","1","46","46","46","1","1","1","46","46","46","1","1","1"
"960000","47","47","47","0.9800000190734863","0.9800000190734863","0.9800000190734863","47","47","47","1","1","1","47","47","47","1","1","1"
"980000","48","48","48","0.8999999761581421","0.8999999761581421","0.8999999761581421","48","48","48","1","1","1","48","48","48","1","1","1"
"1000000","49","49","49","0.8399999737739563","0.8399999737739563","0.8399999737739563","49","49","49","1","1","1","49","49","49","1","1","1"
"1020000","50","50","50","0.9599999785423279","0.9599999785423279","0.9599999785423279","50","50","50","1","1","1","50","50","50","1","1","1"
"1040000","51","51","51","0.9800000190734863","0.9800000190734863","0.9800000190734863","51","51","51","1","1","1","51","51","51","1","1","1"
"1060000","52","52","52","0.9399999976158142","0.9399999976158142","0.9399999976158142","52","52","52","1","1","1","52","52","52","1","1","1"
"1080000","53","53","53","0.9200000166893005","0.9200000166893005","0.9200000166893005","53","53","53","1","1","1","53","53","53","1","1","1"
"1100000","54","54","54","0.8799999952316284","0.8799999952316284","0.8799999952316284","54","54","54","1","1","1","54","54","54","1","1","1"
"1120000","55","55","55","0.8600000143051147","0.8600000143051147","0.8600000143051147","55","55","55","1","1","1","55","55","55","1","1","1"
"1140000","56","56","56","0.9200000166893005","0.9200000166893005","0.9200000166893005","56","56","56","1","1","1","56","56","56","1","1","1"
"1160000","57","57","57","0.8199999928474426","0.8199999928474426","0.8199999928474426","57","57","57","1","1","1","57","57","57","1","1","1"
"1180000","58","58","58","0.9399999976158142","0.9399999976158142","0.9399999976158142","58","58","58","1","1","1","58","58","58","1","1","1"
"1200000","59","59","59","0.8799999952316284","0.8799999952316284","0.8799999952316284","59","59","59","1","1","1","59","59","59","1","1","1"
"1220000","60","60","60","0.9599999785423279","0.9599999785423279","0.9599999785423279","60","60","60","1","1","1","60","60","60","1","1","1"
"1240000","61","61","61","0.8399999737739563","0.8399999737739563","0.8399999737739563","61","61","61","1","1","1","61","61","61","1","1","1"
"1260000","62","62","62","0.7799999713897705","0.7799999713897705","0.7799999713897705","62","62","62","1","1","1","62","62","62","1","1","1"
"1280000","63","63","63","0.8799999952316284","0.8799999952316284","0.8799999952316284","63","63","63","1","1","1","63","63","63","1","1","1"
"1300000","64","64","64","0.8799999952316284","0.8799999952316284","0.8799999952316284","64","64","64","1","1","1","64","64","64","1","1","1"
"1320000","65","65","65","0.7799999713897705","0.7799999713897705","0.7799999713897705","65","65","65","1","1","1","65","65","65","1","1","1"
"1340000","66","66","66","0.7400000095367432","0.7400000095367432","0.7400000095367432","66","66","66","1","1","1","66","66","66","1","1","1"
